ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
284,Peeking Iterator,45.70%,Medium,0.954183803, https://leetcode.com/problems/peeking-iterator
1,Two Sum,45.60%,Easy,0.86720523, https://leetcode.com/problems/two-sum
1095,Find in Mountain Array,35.80%,Hard,0.776808809, https://leetcode.com/problems/find-in-mountain-array
391,Perfect Rectangle,30.50%,Hard,0.686412388, https://leetcode.com/problems/perfect-rectangle
146,LRU Cache,33.20%,Medium,0.631626555, https://leetcode.com/problems/lru-cache
341,Flatten Nested List Iterator,52.90%,Medium,0.541230134, https://leetcode.com/problems/flatten-nested-list-iterator
428,Serialize and Deserialize N-ary Tree,59.40%,Hard,0.450833713, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
212,Word Search II,34.90%,Hard,0.442450914, https://leetcode.com/problems/word-search-ii
97,Interleaving String,31.50%,Hard,0.416776283, https://leetcode.com/problems/interleaving-string
4,Median of Two Sorted Arrays,29.60%,Hard,0.387193157, https://leetcode.com/problems/median-of-two-sorted-arrays
53,Maximum Subarray,46.50%,Easy,0.375777578, https://leetcode.com/problems/maximum-subarray
295,Find Median from Data Stream,44.30%,Hard,0.366681211, https://leetcode.com/problems/find-median-from-data-stream
42,Trapping Rain Water,48.90%,Hard,0.361871794, https://leetcode.com/problems/trapping-rain-water
2,Add Two Numbers,33.90%,Medium,0.35952705, https://leetcode.com/problems/add-two-numbers
981,Time Based Key-Value Store,53.10%,Medium,0.307600553, https://leetcode.com/problems/time-based-key-value-store
688,Knight Probability in Chessboard,48.90%,Medium,0.300248695, https://leetcode.com/problems/knight-probability-in-chessboard
1229,Meeting Scheduler,52.70%,Medium,0.295560175, https://leetcode.com/problems/meeting-scheduler
351,Android Unlock Patterns,48.40%,Medium,0.261215499, https://leetcode.com/problems/android-unlock-patterns
609,Find Duplicate File in System,59.50%,Medium,0.253880177, https://leetcode.com/problems/find-duplicate-file-in-system
348,Design Tic-Tac-Toe,54.30%,Medium,0.199332903, https://leetcode.com/problems/design-tic-tac-toe
49,Group Anagrams,56.90%,Medium,0.194240085, https://leetcode.com/problems/group-anagrams
12,Integer to Roman,55.10%,Medium,0.194105607, https://leetcode.com/problems/integer-to-roman
200,Number of Islands,46.80%,Medium,0.189865499, https://leetcode.com/problems/number-of-islands
227,Basic Calculator II,36.90%,Medium,0.182009593, https://leetcode.com/problems/basic-calculator-ii
1278,Palindrome Partitioning III,59.90%,Hard,0.172842813, https://leetcode.com/problems/palindrome-partitioning-iii
821,Shortest Distance to a Character,66.90%,Easy,0.162298641, https://leetcode.com/problems/shortest-distance-to-a-character
311,Sparse Matrix Multiplication,61.90%,Medium,0.161746159, https://leetcode.com/problems/sparse-matrix-multiplication
206,Reverse Linked List,62.50%,Easy,0.156365335, https://leetcode.com/problems/reverse-linked-list
238,Product of Array Except Self,60.10%,Medium,0.153911548, https://leetcode.com/problems/product-of-array-except-self
5,Longest Palindromic Substring,29.50%,Medium,0.152609188, https://leetcode.com/problems/longest-palindromic-substring
403,Frog Jump,39.70%,Hard,0.151990953, https://leetcode.com/problems/frog-jump
362,Design Hit Counter,63.70%,Medium,0.148996029, https://leetcode.com/problems/design-hit-counter
269,Alien Dictionary,33.30%,Hard,0.145787813, https://leetcode.com/problems/alien-dictionary
546,Remove Boxes,42.70%,Hard,0.143615512, https://leetcode.com/problems/remove-boxes
836,Rectangle Overlap,48.60%,Easy,0.142610227, https://leetcode.com/problems/rectangle-overlap
658,Find K Closest Elements,40.90%,Medium,0.140417179, https://leetcode.com/problems/find-k-closest-elements
996,Number of Squareful Arrays,47.80%,Hard,0.137674091, https://leetcode.com/problems/number-of-squareful-arrays
139,Word Break,40.10%,Medium,0.131444053, https://leetcode.com/problems/word-break
54,Spiral Matrix,34.10%,Medium,0.125727285, https://leetcode.com/problems/spiral-matrix
636,Exclusive Time of Functions,52.00%,Medium,0.12466319, https://leetcode.com/problems/exclusive-time-of-functions
741,Cherry Pickup,33.90%,Hard,0.122937686, https://leetcode.com/problems/cherry-pickup
202,Happy Number,50.40%,Easy,0.119824013, https://leetcode.com/problems/happy-number
3,Longest Substring Without Repeating Characters,30.40%,Medium,0.118764231, https://leetcode.com/problems/longest-substring-without-repeating-characters
329,Longest Increasing Path in a Matrix,43.40%,Hard,0.114592642, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
36,Valid Sudoku,48.70%,Medium,0.11024748, https://leetcode.com/problems/valid-sudoku
472,Concatenated Words,43.70%,Hard,0.106341801, https://leetcode.com/problems/concatenated-words
388,Longest Absolute File Path,41.80%,Medium,0.105981441, https://leetcode.com/problems/longest-absolute-file-path
343,Integer Break,50.40%,Medium,0.104465415, https://leetcode.com/problems/integer-break
